year,rate,rate_18
1980,220,310
1981,240,330
1982,260,360
1983,280,380
1984,290,390
1985,310,420
1986,340,460
1987,350,480
1988,390,520
1989,430,590
1990,460,620
1991,480,650
1992,500,680
1993,530,710
1994,560,760
1995,600,810
1996,620,830
1997,650,870
1998,670,900
1999,700,940
2000,690,920
2001,690,920
2002,700,940
2003,720,960
2004,730,970
2005,740,990
2006,750,"1,000"
2007,760,"1,000"
2008,760,"1,000"
2009,750,980
2010,730,960
2011,720,940
2012,710,920
2013,700,910
2014,690,900
2015,680,870
2016,670,860
